age,income_tier,primary_use,human_choice,choice,factor,parse_success,error
54,Low,Browsing,Option A,Option B,convenience,True,
19,Medium,Browsing,Option B,Option B,convenience,True,
45,Medium,Browsing,Option A,Option B,convenience,True,
25,Low,Browsing,Option B,Option C,convenience,True,
41,Medium,Gaming,Option A,Option C,convenience,True,
23,High,Streaming,Option A,Option B,convenience,True,
23,High,Streaming,Option A,Option C,convenience,True,
29,Low,Browsing,Option A,Option C,convenience,True,
27,High,Streaming,Option A,Option B,convenience,True,
23,Medium,Browsing,Option B,Option B,convenience,True,
41,Low,Browsing,Option A,Option A,convenience,True,
50,Low,Voice,Option C,Option A,convenience,True,
19,High,Streaming,Option B,Option B,convenience,True,
21,High,Streaming,Option A,Option B,convenience,True,
33,High,Streaming,Option A,Option C,convenience,True,
18,High,Streaming,Option C,Option B,convenience,True,
23,Low,Voice,Option B,Option B,convenience,True,
43,High,Streaming,Option C,Option B,convenience,True,
37,Medium,Browsing,Option A,Option B,convenience,True,
41,High,Gaming,Option A,Option B,convenience,True,
64,Low,Browsing,Option A,Option B,convenience,True,
54,Low,Voice,Option B,Option B,convenience,True,
18,Low,Voice,Option A,Option C,convenience,True,
53,Medium,Browsing,Option C,Option B,convenience,True,
46,Medium,Browsing,Option A,Option C,convenience,True,
41,Medium,Browsing,Option A,Option B,convenience,True,
40,High,Streaming,Option A,Option B,convenience,True,
34,Low,Browsing,Option A,Option C,convenience,True,
32,High,Streaming,Option C,Option C,convenience,True,
34,Medium,Streaming,Option A,Option A,convenience,True,
63,High,Gaming,Option C,Option C,convenience,True,
75,High,Streaming,Option A,Option B,convenience,True,
40,Medium,Browsing,Option B,Option B,convenience,True,
26,Low,Voice,Option A,Option A,convenience,True,
78,Low,Browsing,Option A,Option B,convenience,True,
29,High,Streaming,Option C,,,False,Invalid \escape: line 2 column 123 (char 124)
37,Medium,Gaming,Option A,Option B,convenience,True,
53,Medium,Gaming,Option A,Option B,convenience,True,
26,High,Streaming,Option A,Option B,convenience,True,
54,High,Streaming,Option A,Option A,convenience,True,
19,Low,Browsing,Option B,Option B,convenience,True,
24,Medium,Streaming,Option C,Option C,convenience,True,
35,Low,Voice,Option B,Option B,convenience,True,
29,Medium,Streaming,Option C,Option C,convenience,True,
27,Medium,Streaming,Option A,Option B,convenience,True,
31,Medium,Gaming,Option A,Option B,convenience,True,
42,Low,Browsing,Option A,Option B,convenience,True,
36,Medium,Streaming,Option A,Option B,convenience,True,
23,Medium,Streaming,Option C,Option C,convenience,True,
45,Medium,Browsing,Option C,Option B,convenience,True,
67,High,Streaming,Option A,Option C,convenience,True,
32,High,Streaming,Option A,Option C,convenience,True,
68,Medium,Streaming,Option A,Option C,convenience,True,
61,Medium,Gaming,Option A,Option C,convenience,True,
63,Medium,Browsing,Option B,Option C,convenience,True,
67,High,Streaming,Option A,Option A,convenience,True,
39,High,Streaming,Option B,Option B,convenience,True,
79,High,Streaming,Option B,Option B,convenience,True,
36,Low,Voice,Option C,Option B,convenience,True,
29,High,Streaming,Option C,Option B,convenience,True,
48,High,Streaming,Option A,Option C,convenience,True,
24,High,Streaming,Option A,Option B,convenience,True,
51,Low,Browsing,Option C,Option C,convenience,True,
25,Medium,Browsing,Option B,Option B,convenience,True,
40,High,Streaming,Option A,Option A,convenience,True,
30,Medium,Streaming,Option A,Option C,convenience,True,
54,Medium,Gaming,Option B,Option B,convenience,True,
52,Medium,Streaming,Option C,Option C,convenience,True,
38,Low,Voice,Option C,Option B,convenience,True,
43,Medium,Gaming,Option A,Option C,convenience,True,
49,Low,Browsing,Option A,Option B,convenience,True,
50,Low,Voice,Option B,Option B,convenience,True,
74,High,Streaming,Option C,Option A,convenience,True,
27,Low,Voice,Option C,Option B,convenience,True,
21,Medium,Browsing,Option A,Option B,convenience,True,
74,High,Streaming,Option B,Option A,convenience,True,
31,Medium,Browsing,Option B,Option B,convenience,True,
37,Medium,Browsing,Option A,Option B,convenience,True,
67,Medium,Streaming,Option A,Option B,convenience,True,
37,Low,Voice,Option B,Option B,convenience,True,
26,Medium,Streaming,Option A,Option B,convenience,True,
30,Medium,Streaming,Option A,Option C,convenience,True,
22,Medium,Gaming,Option A,Option C,convenience,True,
42,High,Streaming,Option A,Option B,convenience,True,
32,Low,Voice,Option C,Option A,convenience,True,
54,High,Streaming,Option A,Option B,convenience,True,
40,Medium,Streaming,Option B,Option B,convenience,True,
51,Low,Voice,Option C,Option B,convenience,True,
37,Low,Voice,Option C,Option B,convenience,True,
43,Low,Streaming,Option A,Option C,convenience,True,
47,Medium,Gaming,Option A,Option C,convenience,True,
