model_tested,consumer_idx,income_tier,simulated_choice,primary_factor,parse_success,error
llama-3.1-8b-instant,0,Low,Option B,convenience,True,
llama-3.1-8b-instant,1,Medium,Option B,convenience,True,
llama-3.1-8b-instant,2,Medium,Option C,convenience,True,
llama-3.1-8b-instant,3,Low,Option B,convenience,True,
llama-3.1-8b-instant,4,Medium,Option B,convenience,True,
llama-3.1-8b-instant,5,High,Option C,convenience,True,
llama-3.1-8b-instant,6,High,Option B,convenience,True,
llama-3.1-8b-instant,7,Low,Option C,convenience,True,
llama-3.1-8b-instant,8,High,Option C,convenience,True,
llama-3.1-8b-instant,9,Medium,Option B,convenience,True,
llama-3.1-8b-instant,10,Low,Option B,convenience,True,
llama-3.1-8b-instant,11,Low,Option C,convenience,True,
llama-3.1-8b-instant,12,High,Option B,convenience,True,
llama-3.1-8b-instant,13,High,Option C,convenience,True,
llama-3.1-8b-instant,14,High,Option C,convenience,True,
llama-3.1-8b-instant,15,High,Option B,convenience,True,
llama-3.1-8b-instant,16,Low,Option B,convenience,True,
llama-3.1-8b-instant,17,High,Option B,convenience,True,
llama-3.1-8b-instant,18,Medium,Option B,convenience,True,
llama-3.1-8b-instant,19,High,Option C,convenience,True,
llama-3.1-8b-instant,20,Low,Option B,convenience,True,
llama-3.1-8b-instant,21,Low,Option A,convenience,True,
llama-3.1-8b-instant,22,Low,Option C,convenience,True,
llama-3.1-8b-instant,23,Medium,Option B,convenience,True,
llama-3.1-8b-instant,24,Medium,Option B,convenience,True,
llama-3.1-8b-instant,25,Medium,Option B,convenience,True,
llama-3.1-8b-instant,26,High,Option B,convenience,True,
llama-3.1-8b-instant,27,Low,Option C,convenience,True,
llama-3.1-8b-instant,28,High,Option C,convenience,True,
llama-3.1-8b-instant,29,Medium,Option B,convenience,True,
llama-3.1-8b-instant,30,High,Option B,convenience,True,
llama-3.1-8b-instant,31,High,Option B,convenience,True,
llama-3.1-8b-instant,32,Medium,Option B,convenience,True,
llama-3.1-8b-instant,33,Low,Option A,convenience,True,
llama-3.1-8b-instant,34,Low,Option B,convenience,True,
llama-3.1-8b-instant,35,,Failed,,False,Invalid \escape: line 2 column 86 (char 87)
llama-3.1-8b-instant,36,Medium,Option B,convenience,True,
llama-3.1-8b-instant,37,Medium,Option B,convenience,True,
llama-3.1-8b-instant,38,High,Option C,convenience,True,
llama-3.1-8b-instant,39,High,Option B,convenience,True,
llama-3.1-8b-instant,40,Low,Option C,convenience,True,
llama-3.1-8b-instant,41,Medium,Option C,convenience,True,
llama-3.1-8b-instant,42,Low,Option B,convenience,True,
llama-3.1-8b-instant,43,Medium,Option C,convenience,True,
llama-3.1-8b-instant,44,Medium,Option B,convenience,True,
llama-3.1-8b-instant,45,Medium,Option C,convenience,True,
llama-3.1-8b-instant,46,Low,Option B,convenience,True,
llama-3.1-8b-instant,47,Medium,Option B,convenience,True,
llama-3.1-8b-instant,48,Medium,Option B,convenience,True,
llama-3.1-8b-instant,49,Medium,Option B,convenience,True,
llama-3.3-70b-versatile,0,Low,Option A,convenience,True,
llama-3.3-70b-versatile,1,Medium,Option A,balance between budget and convenience,True,
llama-3.3-70b-versatile,2,Medium,Option A,convenience,True,
llama-3.3-70b-versatile,3,Low,Option B,convenience,True,
llama-3.3-70b-versatile,4,Medium,Option B,balance between performance and affordability,True,
llama-3.3-70b-versatile,5,High,Option C,balance between cost and streaming needs,True,
llama-3.3-70b-versatile,6,High,Option A,balance between cost and features,True,
llama-3.3-70b-versatile,7,Low,Option A,convenience,True,
llama-3.3-70b-versatile,8,High,Option A,convenience,True,
llama-3.3-70b-versatile,9,Medium,Option A,convenience,True,
llama-3.3-70b-versatile,10,Low,Option C,balance between budget and convenience,True,
llama-3.3-70b-versatile,11,Low,Option C,balance between affordability and standard features,True,
llama-3.3-70b-versatile,12,High,Option B,convenience,True,
llama-3.3-70b-versatile,13,High,Option B,balance between cost and streaming quality,True,
llama-3.3-70b-versatile,14,High,Option C,balance between price and features,True,
llama-3.3-70b-versatile,15,High,Option C,balance between cost and feature needs,True,
llama-3.3-70b-versatile,16,Low,Option C,balance between affordability and essential features,True,
llama-3.3-70b-versatile,17,High,Option C,convenience,True,
llama-3.3-70b-versatile,18,Medium,Option A,balance between cost and feature needs,True,
llama-3.3-70b-versatile,19,High,Option C,convenience,True,
llama-3.3-70b-versatile,20,Low,Option B,convenience,True,
llama-3.3-70b-versatile,21,Low,Option B,convenience,True,
llama-3.3-70b-versatile,22,Low,Option B,balance between affordability and core feature needs,True,
llama-3.3-70b-versatile,23,Medium,Option B,balance between cost and performance,True,
llama-3.3-70b-versatile,24,Medium,Option B,convenience,True,
llama-3.3-70b-versatile,25,Medium,Option B,convenience,True,
llama-3.3-70b-versatile,26,High,Option A,convenience,True,
llama-3.3-70b-versatile,27,Low,Option A,convenience,True,
llama-3.3-70b-versatile,28,High,Option B,convenience,True,
llama-3.3-70b-versatile,29,Medium,Option C,balance between budget and streaming needs,True,
llama-3.3-70b-versatile,30,High,Option C,convenience,True,
llama-3.3-70b-versatile,31,High,Option C,balance between cost and convenience,True,
llama-3.3-70b-versatile,32,Medium,Option B,balance between budget and feature needs,True,
llama-3.3-70b-versatile,33,Low,Option B,convenience,True,
llama-3.3-70b-versatile,34,Low,Option C,convenience,True,
llama-3.3-70b-versatile,35,High,Option B,balance between cost and feature satisfaction,True,
llama-3.3-70b-versatile,36,Medium,Option C,convenience,True,
llama-3.3-70b-versatile,37,Medium,Option A,balance between performance and cost,True,
llama-3.3-70b-versatile,38,High,Option B,balance between cost and feature needs,True,
llama-3.3-70b-versatile,39,High,Option A,convenience,True,
llama-3.3-70b-versatile,40,Low,Option C,balance between affordability and convenience,True,
llama-3.3-70b-versatile,41,Medium,Option A,convenience,True,
llama-3.3-70b-versatile,42,Low,Option B,balance between budget and convenience,True,
llama-3.3-70b-versatile,43,Medium,Option C,convenience,True,
llama-3.3-70b-versatile,44,Medium,Option C,balance between budget and feature needs,True,
llama-3.3-70b-versatile,45,Medium,Option C,convenience,True,
llama-3.3-70b-versatile,46,Low,Option A,balance between affordability and convenience,True,
llama-3.3-70b-versatile,47,Medium,Option C,convenience,True,
llama-3.3-70b-versatile,48,Medium,Option A,balance between budget and streaming quality,True,
llama-3.3-70b-versatile,49,Medium,Option B,convenience,True,
