model,age,income_tier,primary_use,choice,factor,parse_success
llama-3.1-8b-instant,54,Low,Browsing,Option A,price,True
llama-3.1-8b-instant,19,Medium,Browsing,Option B,peer_alignment,True
llama-3.1-8b-instant,45,Medium,Browsing,Option A,price,True
llama-3.1-8b-instant,25,Low,Browsing,Option B,price,True
llama-3.1-8b-instant,41,Medium,Gaming,Option A,peer_alignment,True
llama-3.1-8b-instant,23,High,Streaming,Option A,peer_alignment,True
llama-3.1-8b-instant,23,High,Streaming,Option A,peer_alignment,True
llama-3.1-8b-instant,29,Low,Browsing,Option A,price,True
llama-3.1-8b-instant,27,High,Streaming,Option A,price,True
llama-3.1-8b-instant,23,Medium,Browsing,Option C,utility,True
llama-3.1-8b-instant,41,Low,Browsing,Option A,price,True
llama-3.1-8b-instant,50,Low,Voice,Option B,utility,True
llama-3.1-8b-instant,19,High,Streaming,Option A,experience,True
llama-3.1-8b-instant,21,High,Streaming,Option A,peer_alignment,True
llama-3.1-8b-instant,33,High,Streaming,Option B,experience,True
llama-3.1-8b-instant,18,High,Streaming,Option C,experience,True
llama-3.1-8b-instant,23,Low,Voice,Option B,price,True
llama-3.1-8b-instant,43,High,Streaming,Option B,experience,True
llama-3.1-8b-instant,37,Medium,Browsing,Option A,peer_alignment,True
llama-3.1-8b-instant,41,High,Gaming,Option A,peer_alignment,True
llama-3.1-8b-instant,64,Low,Browsing,Option A,price,True
llama-3.1-8b-instant,54,Low,Voice,Option B,experience,True
llama-3.1-8b-instant,18,Low,Voice,Option A,price,True
llama-3.1-8b-instant,53,Medium,Browsing,Option A,utility,True
llama-3.1-8b-instant,46,Medium,Browsing,Option A,price,True
llama-3.1-8b-instant,41,Medium,Browsing,Option A,peer_alignment,True
llama-3.1-8b-instant,40,High,Streaming,Option A,peer_alignment,True
llama-3.1-8b-instant,34,Low,Browsing,Option A,peer_alignment,True
llama-3.1-8b-instant,32,High,Streaming,Option A,utility,True
llama-3.1-8b-instant,34,Medium,Streaming,Option C,experience,True
llama-3.1-8b-instant,63,High,Gaming,Option C,peer_alignment,True
llama-3.1-8b-instant,75,High,Streaming,Option A,experience,True
llama-3.1-8b-instant,40,Medium,Browsing,Option A,peer_alignment,True
llama-3.1-8b-instant,26,Low,Voice,Option A,price,True
llama-3.1-8b-instant,78,Low,Browsing,Option A,price,True
llama-3.1-8b-instant,29,High,Streaming,Option C,utility,True
llama-3.1-8b-instant,37,Medium,Gaming,Option A,peer_alignment,True
llama-3.1-8b-instant,53,Medium,Gaming,Option A,peer_alignment,True
llama-3.1-8b-instant,26,High,Streaming,Option A,price,True
llama-3.1-8b-instant,54,High,Streaming,Option A,peer_alignment,True
llama-3.1-8b-instant,19,Low,Browsing,Option B,price,True
llama-3.1-8b-instant,24,Medium,Streaming,Option C,peer_alignment,True
llama-3.1-8b-instant,35,Low,Voice,Option B,peer_alignment,True
llama-3.1-8b-instant,29,Medium,Streaming,Option C,peer_alignment,True
llama-3.1-8b-instant,27,Medium,Streaming,Option C,experience,True
llama-3.1-8b-instant,31,Medium,Gaming,Option A,peer_alignment,True
llama-3.1-8b-instant,42,Low,Browsing,Option A,price,True
llama-3.1-8b-instant,36,Medium,Streaming,Option A,peer_alignment,True
llama-3.1-8b-instant,23,Medium,Streaming,Option C,price,True
llama-3.1-8b-instant,45,Medium,Browsing,Option A,price,True
llama-3.3-70b-versatile,54,Low,Browsing,Option A,peer_alignment,True
llama-3.3-70b-versatile,19,Medium,Browsing,Option B,peer_alignment,True
llama-3.3-70b-versatile,45,Medium,Browsing,Option A,peer_alignment,True
llama-3.3-70b-versatile,25,Low,Browsing,Option A,peer_alignment,True
llama-3.3-70b-versatile,41,Medium,Gaming,Option A,peer_alignment,True
llama-3.3-70b-versatile,23,High,Streaming,Option A,peer_alignment,True
