Study_Source,Construct_1,Construct_2,Correlation_r,Sample_Size_n
AI Chatbot Affordances and Purchase Intention Dataset.xlsx,Chatbot Affordance,Customer Engagement,0.4646,385
AI Chatbot Affordances and Purchase Intention Dataset.xlsx,Chatbot Affordance,Customer Trust,0.4603,385
AI Chatbot Affordances and Purchase Intention Dataset.xlsx,Chatbot Affordance,Customer Satisfaction,0.4589,385
AI Chatbot Affordances and Purchase Intention Dataset.xlsx,Chatbot Affordance,Purchase Intention,0.4068,385
AI Chatbot Affordances and Purchase Intention Dataset.xlsx,Customer Engagement,Customer Trust,0.4946,385
AI Chatbot Affordances and Purchase Intention Dataset.xlsx,Customer Engagement,Customer Satisfaction,0.4842,385
AI Chatbot Affordances and Purchase Intention Dataset.xlsx,Customer Engagement,Purchase Intention,0.4453,385
AI Chatbot Affordances and Purchase Intention Dataset.xlsx,Customer Trust,Customer Satisfaction,0.533,385
AI Chatbot Affordances and Purchase Intention Dataset.xlsx,Customer Trust,Purchase Intention,0.4595,385
AI Chatbot Affordances and Purchase Intention Dataset.xlsx,Customer Satisfaction,Purchase Intention,0.5305,385
