age,income_tier,primary_use,human_choice
54,Low,Browsing,Option A
19,Medium,Browsing,Option B
45,Medium,Browsing,Option A
25,Low,Browsing,Option B
41,Medium,Gaming,Option A
23,High,Streaming,Option A
23,High,Streaming,Option A
29,Low,Browsing,Option A
27,High,Streaming,Option A
23,Medium,Browsing,Option B
41,Low,Browsing,Option A
50,Low,Voice,Option C
19,High,Streaming,Option B
21,High,Streaming,Option A
33,High,Streaming,Option A
18,High,Streaming,Option C
23,Low,Voice,Option B
43,High,Streaming,Option C
37,Medium,Browsing,Option A
41,High,Gaming,Option A
64,Low,Browsing,Option A
54,Low,Voice,Option B
18,Low,Voice,Option A
53,Medium,Browsing,Option C
46,Medium,Browsing,Option A
41,Medium,Browsing,Option A
40,High,Streaming,Option A
34,Low,Browsing,Option A
32,High,Streaming,Option C
34,Medium,Streaming,Option A
63,High,Gaming,Option C
75,High,Streaming,Option A
40,Medium,Browsing,Option B
26,Low,Voice,Option A
78,Low,Browsing,Option A
29,High,Streaming,Option C
37,Medium,Gaming,Option A
53,Medium,Gaming,Option A
26,High,Streaming,Option A
54,High,Streaming,Option A
19,Low,Browsing,Option B
24,Medium,Streaming,Option C
35,Low,Voice,Option B
29,Medium,Streaming,Option C
27,Medium,Streaming,Option A
31,Medium,Gaming,Option A
42,Low,Browsing,Option A
36,Medium,Streaming,Option A
23,Medium,Streaming,Option C
45,Medium,Browsing,Option C
67,High,Streaming,Option A
32,High,Streaming,Option A
68,Medium,Streaming,Option A
61,Medium,Gaming,Option A
63,Medium,Browsing,Option B
67,High,Streaming,Option A
39,High,Streaming,Option B
79,High,Streaming,Option B
36,Low,Voice,Option C
29,High,Streaming,Option C
48,High,Streaming,Option A
24,High,Streaming,Option A
51,Low,Browsing,Option C
25,Medium,Browsing,Option B
40,High,Streaming,Option A
30,Medium,Streaming,Option A
54,Medium,Gaming,Option B
52,Medium,Streaming,Option C
38,Low,Voice,Option C
43,Medium,Gaming,Option A
49,Low,Browsing,Option A
50,Low,Voice,Option B
74,High,Streaming,Option C
27,Low,Voice,Option C
21,Medium,Browsing,Option A
74,High,Streaming,Option B
31,Medium,Browsing,Option B
37,Medium,Browsing,Option A
67,Medium,Streaming,Option A
37,Low,Voice,Option B
26,Medium,Streaming,Option A
30,Medium,Streaming,Option A
22,Medium,Gaming,Option A
42,High,Streaming,Option A
32,Low,Voice,Option C
54,High,Streaming,Option A
40,Medium,Streaming,Option B
51,Low,Voice,Option C
37,Low,Voice,Option C
43,Low,Streaming,Option A
47,Medium,Gaming,Option A
63,Medium,Gaming,Option A
24,Medium,Streaming,Option C
45,High,Streaming,Option A
44,High,Streaming,Option C
21,Medium,Gaming,Option A
33,Medium,Browsing,Option B
49,Low,Voice,Option A
27,Low,Voice,Option C
61,High,Streaming,Option A
37,Low,Voice,Option A
28,Low,Voice,Option A
33,High,Streaming,Option B
68,Low,Streaming,Option B
22,High,Streaming,Option C
49,Low,Browsing,Option A
43,High,Streaming,Option B
52,Low,Browsing,Option B
34,High,Streaming,Option B
43,Low,Voice,Option C
18,High,Streaming,Option A
39,Medium,Browsing,Option B
53,High,Streaming,Option A
72,Medium,Gaming,Option A
27,Medium,Streaming,Option C
19,High,Streaming,Option A
36,Low,Browsing,Option C
50,High,Streaming,Option A
21,Low,Voice,Option C
18,High,Gaming,Option A
43,High,Streaming,Option B
48,Low,Voice,Option A
48,Medium,Gaming,Option A
44,Medium,Browsing,Option A
50,Low,Voice,Option A
34,High,Streaming,Option C
72,Medium,Gaming,Option A
